sep=\t
Module Resource Usage Distribution Estimates
Generated at: Feb 26, 2024 15:57:10

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
top:top                  	     228(0)	      10(0)	     196(0)	     2(0)	     0(0)	
 +uartrx_1:uart_rx       	     28(28)	       0(0)	     50(50)	     0(0)	     0(0)	
 +ctrl1:ctrl_8_32        	     68(68)	       0(0)	     39(39)	     0(0)	     0(0)	
 +fifo_1:fifo            	     12(12)	     10(10)	       6(6)	     2(0)	     0(0)	
  +sram1:sram            	       0(0)	       0(0)	       0(0)	     2(2)	     0(0)	
 +ctrl2_dut:ctrl2        	       5(5)	       0(0)	       4(4)	     0(0)	     0(0)	
 +apb_master1:apb_master 	     38(38)	       0(0)	       9(9)	     0(0)	     0(0)	
 +apb_slave1:apb_slave   	     37(37)	       0(0)	     18(18)	     0(0)	     0(0)	
 +ctrluart:ctrl_uart     	     16(16)	       0(0)	     35(35)	     0(0)	     0(0)	
 +uarttx_1:uart_tx       	     24(24)	       0(0)	     35(35)	     0(0)	     0(0)	
