sep=\t
Module Resource Usage Distribution Estimates
Generated at: Feb 26, 2024 15:57:30

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
edb_top:edb_top                                             	   12695(0)	      88(0)	    8054(0)	   256(0)	     0(0)	
 +la0:edb_la_top_renamed_due_excessive_length_1             	12609(8233)	     88(39)	 8017(2808)	   256(0)	     0(0)	
  +axi_crc_i:edb_adbg_crc32                                 	     32(32)	       0(0)	     55(55)	     0(0)	     0(0)	
  +GEN_PROBE[0].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b011,PIPE=1)	       9(9)	       0(0)	     13(13)	     0(0)	     0(0)	
  +GEN_PROBE[0].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b011,PIPE=1)	       9(9)	       0(0)	     13(13)	     0(0)	     0(0)	
  +GEN_PROBE[1].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	
  +GEN_PROBE[1].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     15(15)	     0(0)	     0(0)	
  +GEN_PROBE[2].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     26(26)	     0(0)	     0(0)	
  +GEN_PROBE[2].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     28(28)	     0(0)	     0(0)	
  +GEN_PROBE[3].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b0100000,PIPE=1)	     67(67)	       0(0)	     90(90)	     0(0)	     0(0)	
  +GEN_PROBE[3].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b0100000,PIPE=1)	     67(67)	       0(0)	     91(91)	     0(0)	     0(0)	
  +GEN_PROBE[4].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b010,PIPE=1)	       7(7)	       0(0)	       9(9)	     0(0)	     0(0)	
  +GEN_PROBE[4].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b010,PIPE=1)	       7(7)	       0(0)	     11(11)	     0(0)	     0(0)	
  +GEN_PROBE[5].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b0100000,PIPE=1)	     67(67)	       0(0)	     90(90)	     0(0)	     0(0)	
  +GEN_PROBE[5].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b0100000,PIPE=1)	     67(67)	       0(0)	     92(92)	     0(0)	     0(0)	
  +GEN_PROBE[6].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	
  +GEN_PROBE[6].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     14(14)	     0(0)	     0(0)	
  +GEN_PROBE[7].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	
  +GEN_PROBE[7].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	     13(13)	     0(0)	     0(0)	
  +GEN_PROBE[8].genblk7.genblk2.genblk1.capture_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	     26(26)	     0(0)	     0(0)	
